Models,AUC,Smell
N,0.421052631578947,ARC-CO
L,0.12781954887218,ARC-CO
F,0.676691729323308,ARC-CO
N,0.959287531806616,ARC-DC
L,0.973282442748092,ARC-DC
F,0.895674300254453,ARC-DC
N,0.751111111111111,ARC-LO
L,0.776,ARC-LO
F,0.762666666666667,ARC-LO
N,0.644880174291939,ARC-CO
L,0.662309368191721,ARC-CO
F,0.751633986928105,ARC-CO
N,0.961038961038961,ARC-DC
L,0.977272727272727,ARC-DC
F,0.957792207792208,ARC-DC
N,0.801209372637945,ARC-LO
L,0.767195767195768,ARC-LO
F,0.780045351473923,ARC-LO
N,0.547297297297297,ARC-CO
L,0.932432432432432,ARC-CO
F,0.918918918918919,ARC-CO
N,0.952702702702703,ARC-DC
L,0.956081081081081,ARC-DC
F,0.966216216216216,ARC-DC
N,0.775845864661655,ARC-LO
L,0.771146616541354,ARC-LO
F,0.678571428571429,ARC-LO
N,0.982608695652174,Pkg-DC
L,0.8,Pkg-DC
F,0.208695652173913,Pkg-DC
N,0.857142857142857,Pkg-LO
L,0.716517857142857,Pkg-LO
F,0.881696428571429,Pkg-LO
N,0.938461538461538,Pkg-LO
L,0.825641025641025,Pkg-LO
F,0.935897435897436,Pkg-LO
N,1,ARC-DC
L,1,ARC-DC
F,1,ARC-DC
N,0.857142857142857,ARC-LO
L,0.875776397515528,ARC-LO
F,0.739130434782609,ARC-LO
N,0.482758620689655,ARC-SF
L,0.724137931034483,ARC-SF
F,0.172413793103448,ARC-SF
N,0.993197278911565,ARC-DC
L,0.994897959183673,ARC-DC
F,1,ARC-DC
N,0.839285714285714,ARC-LO
L,0.797619047619048,ARC-LO
F,1,ARC-LO
N,0.858490566037736,ARC-SF
L,0.80188679245283,ARC-SF
F,1,ARC-SF
N,0.980769230769231,ARC-DC
L,0.903846153846154,ARC-DC
F,0.884615384615385,ARC-DC
N,0.592592592592593,ARC-LO
L,0.333333333333333,ARC-LO
F,0.814814814814815,ARC-LO
N,0.821428571428571,ARC-LO
L,0.928571428571428,ARC-LO
F,0.892857142857143,ARC-LO
N,0.93859649122807,ARC-DC
L,0.679824561403508,ARC-DC
F,0.864035087719298,ARC-DC
N,0.645502645502645,ARC-LO
L,0.595238095238095,ARC-LO
F,0.611111111111111,ARC-LO
N,0.933333333333333,Pkg-DC
L,0.95,Pkg-DC
F,0.916666666666667,Pkg-DC
N,0.935483870967742,Pkg-LO
L,0.903225806451613,Pkg-LO
F,0.645161290322581,Pkg-LO
N,0.95,ARC-LO
L,0.725,ARC-LO
F,0.6,ARC-LO
N,0.740384615384615,ARC-LO
L,0.653846153846154,ARC-LO
F,0.467307692307692,ARC-LO
N,0.85,ARC-SF
L,0.345454545454545,ARC-SF
F,0.563636363636364,ARC-SF
N,0.25,Pkg-LO
L,0.611111111111111,Pkg-LO
F,0.611111111111111,Pkg-LO
N,0.461538461538462,ARC-LO
L,0.615384615384615,ARC-LO
F,0.301282051282051,ARC-LO
N,0.931372549019608,ARC-LO
L,0.980392156862745,ARC-LO
F,0.823529411764706,ARC-LO
